FRAVEGA,list_price,discount_price
Aire Acondicionado Inverter Split Frío Calor Electra Trend ETRDI26TC 2200F 2600W,27.999,18.999
Calefactor Tiro Balanceado Longvie EBA2S 2000 kcal/h,8.499,7.499
Aire Acondicionado Inverter Split Frío Calor Electra Trend ETRDI35TC 3000F 3500W,23.999,22.999
Aire Acondicionado Split Frío Calor BGH BSH26WCP 2200F 2650W,19.999,15.999
Convector Eléctrico Liliana CNG17 2000W,4.999,3.499
Estufa de Cuarzo Star Trak STQZ120 1600W,1.199,799.0
Ventilador de Pie BGH 20",3.299,None
Calefactor Sin Ventilación Orbis 4040GO 4200 kcal/h,6.699,5.699
Ventilador de pie Axel 26,4.999,4.299
Ventilador de Pie Axel 30,5.249,None
Vitroconvector Eléctrico Peabody PE-VC20R 2000W,5.899,4.899
Caloventor Star Trak STC100 2000W,999.0,None
Aire Acondicionado Portátil Frío/Calor Surrey FC IPQ1211 3000F 3500W,30.499,13.999
Panel de Mica Liliana CFM717 2000W,4.299,None
Ventilador de techo Severbon VTML 420 DC con luz,5.928,4.199
Aire Acondicionado Inverter Split Frío Calor Hisense HISI35WCO 2900F 3400W,29.999,19.999
Aire Acondicionado Inverter Split Frío Calor Hisense HISI53WCO 4400F 5200W,42.999,29.999
Calefactor Sin Ventilación Longvie ECA3 3200 kcal/h,7.999,None
Calefactor Sin Ventilación Orbis 4020GO 2700 kcal/h,5.999,4.999
Caloventor Liliana CFH400 2000W,1.249,None
Caloventor Liliana Torre TF150 1500W,3.799,None
Estufa Halogena Liliana CIGF200 1400W,3.999,2.999
Vitroconvector Eléctrico Peabody PE-VC20B 2000W,5.899,4.899
Vitroconvector Eléctrico Peabody PE-VC20N 2000W,5.899,4.899
Panel de Mica Atma RM2018E 2000W,4.399,None
Aire Acondicionado Split Inverter Frío Calor BGH BSIH55CP 5400F 6350W,54.999,44.999
Calefactor Tiro Balanceado Orbis 4140GO 3800 kcal/h,8.499,7.499
Estufa Infrarroja Liliana CI640 2400W,4.499,3.499
Ventilador de pared Philco VTIS7616E 30 Pulgadas,5.399,None
Calefactor Tiro Balanceado Volcan 42312V 2000 kcal/h,6.999,5.999
Estufa para Exterior Tipo Hongo Daewoo DAZCGB-A,10.999,None
Ventilador Turbo Alhias Vtb-001 12 Pulgadas,1.499,None
Panel Infrarojo CI080 1400W,3.199,2.199
Equipo Ventana SURREY 3027 Frigorias Frio Calor,24.999,23.749
Equipo Ventana SURREY 3010 Frigorias Frio Solo,20.799,None
Calefactor Tiro Balanceado Longvie EBA3S 3000 kcal/h,9.999,8.999
Calefactor Tiro Balanceado Longvie EBA5S 5000 kcal/h,11.999,10.999
Vitroconvector Eléctrico Peabody PE-VC10B 1000W,4.799,3.799
Aire Acondicionado Split Frío Hisense HIS53WFO 4500F 5300W,31.699,19.999
Calefactor Sin Salida Volcan 43512V 4000 kcal/h,5.899,4.899
Ventilador de Pie BGH BFSP18W18 18",2.999,None
Caloventor BGH Fan Heater 360° 1800W,3.299,2.299
Ventilador De Mesa Alhias Vdm-010 16 Pulgadas,1.899,None
Ventilador de techo VTA 420 Blanco con luz,4.932,3.499
Ventilador de techo SeverBon VTA 420 marrón con luz,4.932,3.499
Aire Acondicionado Inverter Split Frío Calor Electra Trend ETRDI64TC 5500F 6400W,49.999,37.999
Split Inverter CARRIER 5500 Frigorias Frio Calor,63.699,47.774
Calefactor Tiro Balanceado Orbis 4120GO 2500 kcal/h,7.499,6.499
Calefactor Tiro Balanceado Orbis 4160GO 5000 kcal/h,9.599,8.499
Aire Acondicionado Split Inverter Frío/Calor Philco Eco Plus PHIN32H17N 2750F 3200W,14.999,None
Calefaccion Sin Ventilacion Volcan 43512V 4000 KCALH,3.229,None
Calefactor Sin Ventilación Longvie ECA2S 2200 kcal/h,5.999,None
Calefactor Tiro Balanceado Orbis 4140GO 3800 kcal/h,7.999,6.999
Vitroconvector Eléctrico Peabody PE-VC10N 1000W,4.799,3.799
Caloventor Liliana PTC620 1500W,2.199,None
Ventilador de techo SeverBon VTA 420 Blanco,4.438,3.199
Ventilador de techo SeverBon VTA 420 platil con luz,6.058,4.299
Ventilador de techo SeverBon VTA 420 Plata Platil,5.518,4.599
Ventilador de techo SeverBon VTML 420 DC,5.518,4.599
Ventilador de techo SeverBon VTA 420 Marrón,4.438,3.199
Split MIDEA 4400 Frigorias Frio Calor,35.599,None
Split Inverter SURREY 3050 Frigorias Frio Calor,40.599,32.479
Split Inverter CARRIER 3050 Frigorias Frio Calor,42.899,32.174
Split MIDEA 2790 Frigorias Frio Calor,24.599,None
